dataset,experiment_block,model,apply_sortstats_at,branches,steepness,lr,batch_size,seed,best_val_f1,final_val_acc,final_val_recall,total_time_min,best_epoch,epochs_trained,n_params
california,bloque1,random_forest,N/A,N/A,,,,52,0.8948544684878921,0.8948643410852714,0.8948692458736249,0.0086,,,
california,bloque1,xgboost,N/A,N/A,,,,52,0.9074549621614312,0.9074612403100775,0.9074654438457359,0.0039,,,
miniboone,bloque1,sortstats_mlp,"[0, 1]",both,5.0,0.001,1024.0,42,0.917971,0.932572,0.925647,12.53,97.0,127.0,4721.0
miniboone,bloque1,random_forest,N/A,N/A,,,,42,0.9234255651753991,0.9384538499980779,0.9214639152768311,0.2606,,,
miniboone,bloque1,xgboost,N/A,N/A,,,,42,0.9319023040200662,0.9449121593049629,0.9326783482876528,0.0304,,,
santander,bloque1,sortstats_mlp,[],both,5.0,0.001,2048.0,62,0.642503,0.78215,0.782013,0.83,3.0,33.0,7217.0
santander,bloque1,random_forest,N/A,N/A,,,,62,0.473545669913135,0.8995,0.5,1.9805,,,
santander,bloque1,xgboost,N/A,N/A,,,,62,0.663470336610557,0.918175,0.6168849333101032,0.1265,,,
miniboone,bloque1,sortstats_mlp,"[1, 2]",both,5.0,0.001,1024.0,42,0.898431,0.919694,0.890337,6.36,55.0,85.0,3153.0
miniboone,bloque1,random_forest,N/A,N/A,,,,42,0.9234255651753991,0.9384538499980779,0.9214639152768311,0.2606,,,
miniboone,bloque1,xgboost,N/A,N/A,,,,42,0.9319023040200662,0.9449121593049629,0.9326783482876528,0.0304,,,
santander,bloque3,sortstats_mlp,"[0, 1, 2]",both,5.0,0.001,256.0,42,0.721416,0.887975,0.747149,99.97,9.0,39.0,14481.0
electricity,bloque1,sortstats_mlp,[],both,5.0,0.001,1024.0,42,0.793561,0.80139,0.789989,0.64,84.0,114.0,1073.0
electricity,bloque1,random_forest,N/A,N/A,,,,42,0.907946812372887,0.910404943175549,0.9063777076360968,0.0143,,,
electricity,bloque1,xgboost,N/A,N/A,,,,42,0.9017436639398309,0.9040052962595168,0.901634274033603,0.0057,,,
santander,bloque1,sortstats_mlp,"[0, 1]",both,5.0,0.001,2048.0,62,0.722805,0.885525,0.755951,90.1,9.0,39.0,14321.0
santander,bloque1,random_forest,N/A,N/A,,,,62,0.473545669913135,0.8995,0.5,1.9556,,,
santander,bloque1,xgboost,N/A,N/A,,,,62,0.663470336610557,0.918175,0.6168849333101032,0.1282,,,
forest_cover_small,bloque1,sortstats_mlp,[0],both,5.0,0.001,512.0,62,0.771635,0.779431,0.779431,1.86,159.0,189.0,4455.0
forest_cover_small,bloque1,random_forest,N/A,N/A,,,,62,0.8702365288481946,0.8720238095238095,0.8720238095238095,0.0075,,,
forest_cover_small,bloque1,xgboost,N/A,N/A,,,,62,0.8678880247026627,0.8700396825396826,0.8700396825396826,0.0289,,,
adult,bloque1,sortstats_mlp,[1],both,5.0,0.001,1024.0,52,0.780501,0.81646,0.831428,1.24,34.0,64.0,4497.0
adult,bloque1,random_forest,N/A,N/A,,,,52,0.7932221179293966,0.8575084450813799,0.7783806917568059,0.0166,,,
adult,bloque1,xgboost,N/A,N/A,,,,52,0.8189477491389114,0.8754222540689938,0.8023211895604374,0.0087,,,
miniboone,bloque2,sortstats_mlp,[0],stats_only,5.0,0.001,1024.0,52,0.919459,0.933879,0.926597,1.87,73.0,103.0,2545.0
california,bloque1,sortstats_mlp,[],both,5.0,0.001,512.0,62,0.859736,0.859738,0.859741,0.17,22.0,52.0,1073.0
california,bloque1,random_forest,N/A,N/A,,,,62,0.907943986112725,0.9079457364341085,0.9079480621911014,0.0088,,,
california,bloque1,xgboost,N/A,N/A,,,,62,0.9166666666666666,0.9166666666666666,0.9166668818418369,0.0038,,,
diabetes,bloque2,sortstats_mlp,[0],sort_only,5.0,0.001,2048.0,42,0.75203,0.752528,0.752532,1.1,33.0,63.0,2161.0
santander,bloque1,sortstats_mlp,[],both,5.0,0.001,2048.0,42,0.629883,0.768225,0.773609,1.73,36.0,66.0,7217.0
santander,bloque1,random_forest,N/A,N/A,,,,42,0.473545669913135,0.8995,0.5,2.1771,,,
santander,bloque1,xgboost,N/A,N/A,,,,42,0.6506191765264725,0.9161,0.6073349207271038,0.1611,,,
diabetes,bloque1,sortstats_mlp,[],both,5.0,0.001,2048.0,42,0.752379,0.753094,0.753098,0.57,40.0,70.0,1489.0
diabetes,bloque1,random_forest,N/A,N/A,,,,42,0.735704006307031,0.7360492255463611,0.7360517853616293,0.0163,,,
diabetes,bloque1,xgboost,N/A,N/A,,,,42,0.7516109624977936,0.7521041092014994,0.7521072643610177,0.0057,,,
adult,bloque3,sortstats_mlp,"[0, 1, 2]",both,20.0,0.001,1024.0,42,0.800548,0.853721,0.802714,6.3,21.0,51.0,7889.0
santander,bloque3,sortstats_mlp,"[0, 1, 2]",both,5.0,0.01,2048.0,52,0.722381,0.880725,0.766872,78.73,5.0,35.0,14481.0
forest_cover_small,bloque2,sortstats_mlp,[0],stats_only,5.0,0.001,512.0,52,0.758165,0.763889,0.763889,0.44,140.0,170.0,2727.0
adult,bloque1,sortstats_mlp,"[0, 1]",both,5.0,0.001,1024.0,52,0.768515,0.815539,0.797257,3.57,1.0,31.0,7729.0
adult,bloque1,random_forest,N/A,N/A,,,,52,0.7932221179293966,0.8575084450813799,0.7783806917568059,0.0166,,,
adult,bloque1,xgboost,N/A,N/A,,,,52,0.8189477491389114,0.8754222540689938,0.8023211895604374,0.0087,,,
forest_cover_small,bloque1,sortstats_mlp,[],both,5.0,0.001,512.0,52,0.742214,0.750992,0.750992,0.35,127.0,157.0,2599.0
forest_cover_small,bloque1,random_forest,N/A,N/A,,,,52,0.8519052568895509,0.8541666666666666,0.8541666666666667,0.0075,,,
forest_cover_small,bloque1,xgboost,N/A,N/A,,,,52,0.854323443512104,0.8564814814814815,0.8564814814814815,0.029,,,
forest_cover_small,bloque2,sortstats_mlp,[0],sort_only,5.0,0.001,512.0,62,0.786398,0.791667,0.791667,1.41,111.0,141.0,4327.0
diabetes,bloque1,sortstats_mlp,"[1, 2]",both,5.0,0.001,2048.0,62,0.751334,0.751821,0.751824,1.48,27.0,57.0,2225.0
diabetes,bloque1,random_forest,N/A,N/A,,,,62,0.7386195155621011,0.738949006294646,0.7389515211044577,0.0162,,,
diabetes,bloque1,xgboost,N/A,N/A,,,,62,0.7521170769278986,0.752528467359785,0.7525313524016548,0.0064,,,
california,bloque2,sortstats_mlp,[1],sort_only,5.0,0.001,512.0,62,0.859979,0.859981,0.859983,1.22,55.0,85.0,1585.0
adult,bloque1,sortstats_mlp,[],both,5.0,0.001,1024.0,42,0.769319,0.804279,0.825766,0.69,79.0,109.0,3921.0
adult,bloque1,random_forest,N/A,N/A,,,,42,0.792078929256685,0.8567918927218753,0.7771768303752378,0.018,,,
adult,bloque1,xgboost,N/A,N/A,,,,42,0.8183239406717029,0.8760364418057119,0.7995003130597909,0.0075,,,
adult,bloque1,sortstats_mlp,[0],both,5.0,0.001,1024.0,52,0.764104,0.796909,0.82737,6.0,25.0,55.0,7153.0
adult,bloque1,random_forest,N/A,N/A,,,,52,0.7932221179293966,0.8575084450813799,0.7783806917568059,0.0166,,,
adult,bloque1,xgboost,N/A,N/A,,,,52,0.8189477491389114,0.8754222540689938,0.8023211895604374,0.0087,,,
santander,bloque3,sortstats_mlp,"[0, 1, 2]",both,5.0,0.01,2048.0,62,0.726483,0.89015,0.752446,94.79,12.0,42.0,14481.0
adult,bloque3,sortstats_mlp,"[0, 1, 2]",both,10.0,0.001,1024.0,52,0.799346,0.848193,0.811539,6.89,26.0,56.0,7889.0
santander,bloque1,sortstats_mlp,[1],both,5.0,0.001,2048.0,52,0.691277,0.861925,0.740844,5.37,59.0,89.0,7793.0
santander,bloque1,random_forest,N/A,N/A,,,,52,0.473545669913135,0.8995,0.5,2.2673,,,
santander,bloque1,xgboost,N/A,N/A,,,,52,0.6521652350275637,0.91635,0.6084682203214058,0.1718,,,
